X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
465.7,509.5,34.30000000000001,-9.5
475.99,503.96,24.00999999999999,-3.9599999999999795
469.48,504.67,30.519999999999982,-4.670000000000016
475.99,503.96,24.00999999999999,-3.9599999999999795
449.74,517.04,50.25999999999999,-17.039999999999964
475.99,503.96,24.00999999999999,-3.9599999999999795
471.13,507.18,28.870000000000005,-7.180000000000007
465.7,509.5,34.30000000000001,-9.5
460.78,512.62,39.22000000000003,-12.620000000000005
470.03,505.5,29.970000000000027,-5.5
461.31,513.47,38.69,-13.470000000000027
466.24,510.35,33.75999999999999,-10.350000000000023
473.32,510.52,26.680000000000007,-10.519999999999982
480.34,499.81,19.660000000000025,0.18999999999999773
470.58,506.34,29.420000000000016,-6.339999999999975
450.77,518.76,49.23000000000002,-18.75999999999999
447.28,524.31,52.72000000000003,-24.309999999999945
446.27,522.5899999999999,53.73000000000002,-22.589999999999918
465.16,508.66,34.839999999999975,-8.660000000000025
476.55,504.79,23.44999999999999,-4.7900000000000205
468.94,503.83,31.060000000000002,-3.829999999999984
475.43,503.13,24.569999999999993,-3.1299999999999955
466.24,510.35,33.75999999999999,-10.350000000000023
469.48,504.67,30.519999999999982,-4.670000000000016
474.32,501.46,25.680000000000007,-1.4599999999999795
463.54,506.14,36.45999999999998,-6.139999999999986
464.62,507.82,35.379999999999995,-7.819999999999993
474.32,501.46,25.680000000000007,-1.4599999999999795
479.77,498.98,20.230000000000018,1.0199999999999818
479.77,498.98,20.230000000000018,1.0199999999999818
470.03,505.5,29.970000000000027,-5.5
470.03,505.5,29.970000000000027,-5.5
475.99,503.96,24.00999999999999,-3.9599999999999795
471.13,507.18,28.870000000000005,-7.180000000000007
460.25,511.77,39.75,-11.769999999999982
470.58,506.34,29.420000000000016,-6.339999999999975
474.32,501.46,25.680000000000007,-1.4599999999999795
474.32,501.46,25.680000000000007,-1.4599999999999795
470.58,506.34,29.420000000000016,-6.339999999999975
465.7,509.5,34.30000000000001,-9.5
470.03,505.5,29.970000000000027,-5.5
470.58,506.34,29.420000000000016,-6.339999999999975
472.22,508.85,27.779999999999973,-8.850000000000023
474.32,501.46,25.680000000000007,-1.4599999999999795
475.43,503.13,24.569999999999993,-3.1299999999999955
475.99,503.96,24.00999999999999,-3.9599999999999795
470.58,506.34,29.420000000000016,-6.339999999999975
450.26,517.9,49.74000000000001,-17.899999999999977
471.13,507.18,28.870000000000005,-7.180000000000007
474.88,502.29,25.120000000000005,-2.2900000000000205
475.99,503.96,24.00999999999999,-3.9599999999999795
475.99,503.96,24.00999999999999,-3.9599999999999795
475.99,503.96,24.00999999999999,-3.9599999999999795
465.16,508.66,34.839999999999975,-8.660000000000025
470.03,505.5,29.970000000000027,-5.5
470.03,505.5,29.970000000000027,-5.5
470.03,505.5,29.970000000000027,-5.5
474.88,502.29,25.120000000000005,-2.2900000000000205
475.99,503.96,24.00999999999999,-3.9599999999999795
475.99,503.96,24.00999999999999,-3.9599999999999795
277.28,585.94,222.72000000000003,-85.94000000000005
473.21,499.8,26.79000000000002,0.19999999999998863
480.34,499.81,19.660000000000025,0.18999999999999773
475.43,503.13,24.569999999999993,-3.1299999999999955
475.43,503.13,24.569999999999993,-3.1299999999999955
479.77,498.98,20.230000000000018,1.0199999999999818
479.21,498.16,20.79000000000002,1.839999999999975
474.32,501.46,25.680000000000007,-1.4599999999999795
474.32,501.46,25.680000000000007,-1.4599999999999795
475.43,503.13,24.569999999999993,-3.1299999999999955
456.27,516.5899999999999,43.73000000000002,-16.589999999999918
456.27,516.5899999999999,43.73000000000002,-16.589999999999918
461.84,514.3199999999999,38.160000000000025,-14.319999999999936
446.27,522.5899999999999,53.73000000000002,-22.589999999999918
470.03,505.5,29.970000000000027,-5.5
